S/S Group,S/S or Busbar Name Node,Primary Voltage (kV),S/S or Busbar Name Node 2,Secondary Voltage (kV),Vector Group,Positive Sequence Impedance R (% on 100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Zero Sequence Reactance X (% on 100 MVA Base),Minimum Tap %,Maximum Tap %,Transformer Rating (MVA),Reverse Power Capability (MVA),Method of Earthing,Licence Area,Transformer Substation,"Substation Class (Primary, BSP)",Geo Point
FERRYBRIDGE A & CAMBLESFORTH,SOUTH ELMSALL T2,66.0,Not given for Yorkshire,11.5,Yy0,7.92,85.8,553.8,-10.0,10.0,30.0,30,Impedance,Yorkshire,South Elmsall,Primary,
FERRYBRIDGE A & CAMBLESFORTH,SOUTH ELMSALL T1,66.0,Not given for Yorkshire,11.5,Yy0,7.55,86.6,553.79,-10.0,10.0,30.0,30,Impedance,Yorkshire,South Elmsall,Primary,
FERRYBRIDGE A & CAMBLESFORTH,RAWCLIFFE,66.0,Not given for Yorkshire,11.0,Yy0,6.0,87.3,87.3,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Rawcliffe,Primary,
FERRYBRIDGE A & CAMBLESFORTH,GUARDIAN GLASS T2,66.0,Not given for Yorkshire,11.5,Yy0,3.37,93.89,421.48,-20.0,10.0,30.0,30,Impedance,Yorkshire,Guardian Glass,Primary,
FERRYBRIDGE A & CAMBLESFORTH,GOOLE T2,66.0,Not given for Yorkshire,11.0,Yy0,6.0,82.2,82.2,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Goole,Primary,
FERRYBRIDGE A & CAMBLESFORTH,Ferrybridge A 11kV T2,66.0,Not given for Yorkshire,11.0,Yy0,6.0,79.3,79.3,-15.0,5.0,30.0,30,Solid,Yorkshire,Ferrybridge A 11kV,Primary,
FERRYBRIDGE A & CAMBLESFORTH,CROWLE,66.0,Not given for Yorkshire,11.5,Yy0,5.99,97.86,500,-10.0,10.0,7.5,7.5,Impedance,Yorkshire,Crowle,Primary,
FERRYBRIDGE B,WHINMOOR GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.44,26.0,391.06,-20.04,10.02,90.0,NOT KNOWN,Solid,Yorkshire,Whinmoor,BSP,
FERRYBRIDGE B,WHINMOOR GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.44,26.02,391.06,-20.04,10.02,90.0,NOT KNOWN,Solid,Yorkshire,Whinmoor,BSP,
FERRYBRIDGE B,TADCASTER T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,97.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Tadcaster,Primary,
FERRYBRIDGE B,SMITH STREET T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,99.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Smith Street,Primary,
FERRYBRIDGE B,SLEDMERE GARTH T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,64.4,64.4,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Sledmere Garth,Primary,
FERRYBRIDGE B,SHERBURN T2,33.0,Not given for Yorkshire,11.5,Yy0,3.9,78.44,78.44,-10.0,10.0,25.0,25,Solid,Yorkshire,Sherburn,Primary,
FERRYBRIDGE B,SHARLSTON T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,95.7,95.7,-15.0,5.0,23.0,11.5,Solid,Yorkshire,Sharlston,Primary,
FERRYBRIDGE B,SEACROFT T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,97.6,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Seacroft,Primary,
FERRYBRIDGE B,SEACROFT T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,97.6,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Seacroft,Primary,
FERRYBRIDGE B,ROMAN AVENUE T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.4,66.4,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Roman Avenue,Primary,"54.974434845175736, -1.5602184160599213"
FERRYBRIDGE B,PRINCE OF WALES T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,92.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Prince Of Wales,Primary,"54.27462621079031, -0.3988120001375804"
FERRYBRIDGE B,PREMIER WAY NORTH NO 1,33.0,Not given for Yorkshire,11.0,Yy0,2.2,99.93,578.51,-15.0,5.0,40.0,NOT KNOWN,Impedance,Yorkshire,Premier Way North No 1,Primary,
FERRYBRIDGE B,KIRKHAW LANE GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.7,27.4,24.1,-20.0,10.0,90.0,90,Solid,Yorkshire,Kirkhaw Lane,BSP,
FERRYBRIDGE B,KIRKHAW LANE GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.7,27.6,24.3,-20.0,10.0,90.0,90,Solid,Yorkshire,Kirkhaw Lane,BSP,
FERRYBRIDGE B,FENTON LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,93.8,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Fenton Lane,Primary,
FERRYBRIDGE B,FEATHERSTONE GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.32,26.89,52.11,-20.0,10.0,90.0,90,Impedance,Yorkshire,Featherstone,BSP,
FERRYBRIDGE B,COMMONSIDE LANE T2,33.0,Not given for Yorkshire,11.5,Yy0,2.48,103.04,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Commonside Lane,Primary,
FERRYBRIDGE B,CARR LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,68.8,68.8,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Carr Lane,Primary,
HARTMOOR,Peterlee West T2,66.0,Peterlee West,11.5,Dy11,1.84,79.98,Not given for Northeast,-10.5,10.5,32.0,32,Solid / Impedance,Northeast,Peterlee West,Primary,
HARTMOOR,Brenda Trading T1,66.0,Brenda Trading,11.5,Dy11,3.66,80.4,Not given for Northeast,-17.16,5.72,30.0,30,Solid / Impedance,Northeast,Brenda Trading,Primary,
HAWTHORN PIT,Houghton Red,66.0,Houghton,11.5,Dy11,3.08,56.66,Not given for Northeast,-10.5,10.5,24.0,12,Solid / Impedance,Northeast,Houghton,Primary,
JORDANTHORPE,MILLHOUSES T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.0,73,-10.0,10.0,24.0,NOT KNOWN,Solid,Yorkshire,Millhouses,Primary,
JORDANTHORPE,MILLHOUSES T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.0,73,-10.0,10.0,24.0,NOT KNOWN,Solid,Yorkshire,Millhouses,Primary,
KEADBY & GRIMSBY WEST,Yarborough Road 33/11kV T1,33.0,Not given for Yorkshire,11.5,Yy0,2.55,103.13,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Yarborough Road 33/11kV,Primary,
KEADBY & GRIMSBY WEST,WRAWBY T1,33.0,Not given for Yorkshire,11.5,Yy0,8.17,91.48,578.5,-15.0,5.0,30.0,30,Impedance,Yorkshire,Wrawby,Primary,
KEADBY & GRIMSBY WEST,WOLD NEWTON GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.83,26.74,24.44,-20.0,10.0,90.0,90,Solid,Yorkshire,Wold Newton,BSP,
KEADBY & GRIMSBY WEST,WALESBY T1,33.0,Not given for Yorkshire,11.5,Yy0,4.0,70.83,475,-10.0,10.0,24.0,24,Impedance,Yorkshire,Walesby,Primary,
KEADBY & GRIMSBY WEST,STATION ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,3.86,115.42,881.58,-17.2,5.7,30.0,30,Impedance,Yorkshire,Station Road,Primary,"55.18329257075272, -1.5733613936675177"
KEADBY & GRIMSBY WEST,SOUTH FERRIBY T1,33.0,Not given for Yorkshire,11.5,Yy0,7.83,93.38,596.27,-20.0,10.0,30.0,30,Impedance,Yorkshire,South Ferriby,Primary,
KEADBY & GRIMSBY WEST,SCUNTHORPE SOUTH GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.75,18.9,16,-20.0,10.0,90.0,90,Solid,Yorkshire,Scunthorpe South,BSP,
